grades,sports,fincome,ses,workage,hmwktime,female,academic,remedial,advanced,_pscore,_treated,_support,_weight,_n1,_nn,_grades,_id,_pdif,set,diff
3,0,2,2,14,6,0,1,1,0,.6083154411248205,0,1,1,1320,1,4,833,.0001332116499327,164,.00013321165
3.5,0,2,1,14,4,1,0,0,0,.173644852827467,0,1,1,885,1,3.5,71,0,8,0
2.5,0,2,1,16,6,0,0,1,1,.4811881648363374,0,1,2,1161,1,2.5,715,5.86969484956e-06,83,5.8696946e-06
3,0,4,3,21,6,0,0,0,1,.4950248270570199,0,1,1,1177,1,3,733,.0002277747004764,206,.0002277747
2.5,0,6,3,15,5,1,0,1,0,.2728424680178202,0,1,1,962,1,2.5,372,.0001929544393341,185,.00019295444
2,1,1,1,15,4,0,0,0,0,.3896689246194007,1,1,1,562,1,3.5,1053,.0002283925175754,207,.00022839251
3.5,0,3,2,21,4,1,0,0,1,.1692324701647698,0,1,,882,1,3,59,.000383586499518,,
3,0,3,2,15,6,1,0,0,1,.2466356976631539,0,1,,941,1,2.5,309,.0010069199138673,,
2,0,1,1,17,5,1,0,0,0,.1773603722028772,0,1,1,886,1,2.5,78,0,9,0
2.5,0,4,1,13,6,1,0,1,0,.2493491373092165,0,1,,943,1,3,321,.0005544833793609,,
4,1,7,2,17,6,0,0,1,1,.5285503579270541,1,1,1,766,1,3.5,1220,.000590176459785,324,.00059017644
3.5,0,3,2,21,5,1,1,0,1,.2550708736960494,0,1,,945,1,3.5,330,.0005633156151975,,
3.5,1,7,3,14,4,1,1,0,0,.3084809503704394,1,1,4,431,1,4,988,.0000719663822712,358,.00094993447
3,1,3,1,18,6,1,1,0,0,.2662480597519321,1,1,1,363,1,3,954,.0001906711109475,184,.00019067111
2.5,1,7,2,15,5,0,0,0,0,.4793592140934667,1,1,1,711,1,2.5,1158,.0004790371638888,299,.00047903717
2.5,1,7,3,21,7,0,1,0,1,.6247223812945191,1,1,1,843,1,3.5,1335,.0005446376590633,428,.0049279467
2.5,0,5,2,13,4,1,0,0,0,.2103414565336557,0,1,,914,1,3,193,.0010200807481506,,
3.5,0,6,3,16,6,0,1,0,1,.6252670189535824,0,1,3,1335,1,2.5,843,.0005446376590633,313,.00054463767
2.5,0,6,2,11,4,0,0,0,0,.4725603539682828,0,1,,1150,1,3,697,.0007201752715246,454,.053418372
3,0,2,2,13,5,1,1,0,1,.3011357363872906,0,1,,984,1,4,417,.0004403533730383,,
3.5,1,4,2,12,6,1,1,1,1,.3675566893032853,1,1,1,520,1,2.5,1036,.0000825608302805,117,.000082560829
2,0,7,3,15,5,1,0,0,0,.2558391190040727,0,1,1,945,1,3.5,332,.0002049296928258,,
2.5,1,5,2,15,6,0,1,0,0,.5892548671417102,1,1,1,822,1,3.5,1299,0,61,0
3.5,0,4,1,16,3,0,0,0,0,.3641402863008206,0,1,1,1033,1,3.5,515,.0004395277230946,279,.00043952774
2.5,0,2,1,14,2,1,0,1,0,.1495644659618501,0,1,,871,1,1,21,.0014536667970375,,
4,1,2,2,13,4,1,0,0,0,.2012878950803637,1,1,,153,1,2,904,.0002403906583328,225,.00024039065
3,1,7,3,14,5,0,1,0,1,.612731707088975,1,1,,834,1,1,1327,.0039308177404367,493,.22911343
3,1,5,3,13,4,0,1,0,0,.5737534768360515,1,1,,807,1,3,1272,.0005814408235549,466,.13358909
2.5,0,5,2,13,6,0,1,1,1,.6340281128895097,0,1,,1344,1,2.5,849,.0013119769554718,391,.0017649685
3.5,0,6,3,11,6,0,0,0,0,.5700548919616863,0,1,3,1268,1,2,806,.0002327168100642,219,.0002327168
2.5,0,1,1,14,4,1,0,0,0,.1709400548438152,0,1,,884,1,2.5,66,.0003607602704581,,
3.5,0,3,1,14,6,1,0,0,1,.2263488971276363,0,1,,927,1,3.5,252,.0000908666576897,,
2.5,0,1,1,16,5,0,0,0,0,.4136455881260941,0,1,,1074,1,3,594,.001057945651867,480,.1773141
